0.2,	0.37,	0.2,	0.26,	0.2,	0.13,	0.2,	0.09
0.3,	0.8,	0.3,	0.64,	0.3,	0.48,	0.3,	0.16
0.4,	1.6,	0.4,	1.22,	0.4,	0.84,	0.4,	0.24
0.5,	2.01,	0.5,	1.81,	0.5,	1,		1,	0.25
0.6,	2.87,	0.6,	1.96,	1,		1.03,	2,	0.26
1,		3.07,	1,		2.03,	2,		1.07,	3,	0.27
2,		3.18,	2,		2.1,	3,		1.1,	4,	0.27
3,		3.28,	3,		2.17,	4,		1.12,	5,	0.28
4,		3.36,	4,		2.22,	5,		1.16,	6,	0.29
5,		3.45,	5,		2.28,	6,		1.2,	7,	0.3
6,		3.56,	6,		2.35,	7,		1.25,	8,	0.32
7,		3.72,	7,		2.47,	8,		1.36,	9,	0.35
8,		4,		8,		2.67,	9,		1.55,	10,	0.43
9,		4.56,	9,		3.07,	10,		2.02		
9.2,	4.76,	10,		3.94				
9.4,	4.92						
9.6,	5.1					
9.8,	5.36						
10,		5.66						

